Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-2219,Security alert: Unauthorized access attempt detected.,Hardware,User C,"",Group B,Service A,On Hold,High,P2,Low,High,Model C,2025-07-27 18:12:40,,
CR-2220,Network issue: Unable to connect to external API.,Access,User A,User D,Group A,Service A,On Hold,Medium,P1,High,Medium,Model A,2024-11-11 18:12:40,,
CR-2221,Data breach notification sent to affected users.,Software,User D,User D,Group C,Service A,Canceled,High,P3,High,Medium,Model C,2025-07-01 18:12:40,2025-07-01 20:12:40,2025-07-02 00:12:40
CR-2222,Service unavailable due to maintenance,SLA Breach,User B,User C,Group C,Service A,Closed,High,P1,Low,Medium,Model C,2025-03-23 18:12:40,2025-03-23 21:12:40,2025-03-24 00:12:40
CR-2223,Performance report: Sluggish response times on application.,Hardware,User B,"",Group B,Service A,Resolved,Low,P1,High,Low,Model C,2024-06-12 18:12:40,2024-06-12 20:12:40,2024-06-12 22:12:40
CR-2224,Service outage detected - No connection to database.,Software,User A,User D,Group A,Service A,New,High,P1,Low,High,Model B,2025-01-31 18:12:40,,
CR-2225,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Failure,User B,User C,Group C,Service C,On Hold,High,P2,Medium,High,Model B,2025-10-04 18:12:40,,
CR-2226,Suspicious activity detected on account: User A.,Software,User D,"",Group B,Service C,On Hold,High,P2,Medium,Medium,Model B,2023-11-22 18:12:40,,
CR-2227,Service outage detected - No connection to database.,Failure,User C,User D,Group A,Service B,New,Medium,P1,Medium,High,Model B,2025-04-26 18:12:40,,
CR-2228,Suspicious activity detected on account: User A.,Network,User A,User B,Group B,Service C,Closed,Low,P3,Low,High,Model C,2025-03-05 18:12:40,2025-03-05 19:12:40,2025-03-05 22:12:40
CR-2229,Data breach notification sent to affected users.,Facilities,User C,User C,Group B,Service B,New,Low,P3,High,High,Model B,2024-09-12 18:12:40,,
CR-2230,Security patch applied: Monitoring for any issues.,SLA Breach,User C,User C,Group C,Service B,In Progress,High,P3,High,Medium,Model C,2024-09-14 18:12:40,2024-09-14 20:12:40,
CR-2231,Critical alert: Database server overload detected.,Network,User B,"",Group B,Service A,In Progress,High,P3,Low,Medium,Model A,2024-05-19 18:12:40,2024-05-19 20:12:40,
CR-2232,Service unavailable due to maintenance,Facilities,User D,User D,Group B,Service B,In Progress,High,P3,Low,Low,Model A,2025-07-09 18:12:40,2025-07-09 20:12:40,
CR-2233,Suspicious activity detected on account: User A.,SLA Breach,User C,"",Group C,Service C,On Hold,Medium,P3,Medium,Medium,Model A,2025-11-02 18:12:40,,
CR-2234,Routine check: All systems operational - No issues detected.,Complaint,User D,"",Group C,Service A,Canceled,High,P1,Medium,Low,Model B,2025-03-28 18:12:40,2025-03-28 19:12:40,2025-03-28 21:12:40
CR-2235,Security alert: Unauthorized access attempt detected.,Data,User A,"",Group C,Service C,Resolved,Low,P1,High,Medium,Model A,2024-11-04 18:12:40,2024-11-04 21:12:40,2024-11-04 23:12:40
CR-2236,Service unavailable due to maintenance,Software,User B,User C,Group B,Service B,Canceled,Medium,P3,Low,Low,Model A,2025-10-02 18:12:40,2025-10-02 20:12:40,2025-10-02 23:12:40
CR-2237,Failed Workflow - ID: 0000,Facilities,User C,User B,Group A,Service A,Resolved,Low,P2,Medium,Medium,Model A,2025-01-06 18:12:40,2025-01-06 19:12:40,2025-01-06 22:12:40
CR-2238,Routine check: All systems operational - No issues detected.,Software,User C,"",Group C,Service A,Canceled,Medium,P3,Medium,Low,Model C,2025-05-30 18:12:40,2025-05-30 19:12:40,2025-05-30 20:12:40
CR-2239,Routine check: All systems operational - No issues detected.,Access,User C,User A,Group B,Service A,Closed,High,P2,Low,Low,Model A,2024-02-17 18:12:40,2024-02-17 21:12:40,2024-02-18 00:12:40
CR-2240,Critical alert: Database server overload detected.,Hardware,User A,User C,Group A,Service C,New,High,P1,High,High,Model B,2024-04-01 18:12:40,,
CR-2241,Security patch applied: Monitoring for any issues.,Facilities,User C,User A,Group C,Service B,On Hold,High,P2,Medium,High,Model B,2024-03-23 18:12:40,,
CR-2242,Failed Workflow - ID: 0000,Access,User A,User B,Group C,Service C,On Hold,Low,P3,High,Low,Model A,2025-09-24 18:12:40,,
CR-2243,Failed Workflow - ID: 0000,Data,User A,User A,Group A,Service B,In Progress,Medium,P1,Low,Low,Model B,2025-05-19 18:12:40,2025-05-19 21:12:40,
CR-2244,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User C,User C,Group C,Service C,Closed,Low,P2,Low,High,Model C,2025-02-19 18:12:40,2025-02-19 19:12:40,2025-02-19 23:12:40
CR-2245,Suspicious activity detected on account: User A.,Data,User D,User B,Group B,Service C,Resolved,Medium,P3,Low,Low,Model B,2024-06-24 18:12:40,2024-06-24 21:12:40,2024-06-25 01:12:40
CR-2246,Service unavailable due to maintenance,Network,User B,User B,Group B,Service A,In Progress,Medium,P2,High,High,Model B,2024-04-13 18:12:40,2024-04-13 21:12:40,
CR-2247,Security patch applied: Monitoring for any issues.,Hardware,User D,"",Group B,Service B,Resolved,High,P3,Medium,Low,Model C,2025-07-30 18:12:40,2025-07-30 20:12:40,2025-07-30 22:12:40
CR-2248,Failed Workflow - ID: 0000,Data,User B,User C,Group B,Service B,In Progress,Medium,P3,High,Low,Model A,2025-03-27 18:12:40,2025-03-27 19:12:40,
CR-2249,Critical alert: Database server overload detected.,Complaint,User A,User B,Group A,Service C,Closed,Low,P2,High,Medium,Model A,2024-10-19 18:12:40,2024-10-19 21:12:40,2024-10-19 23:12:40
CR-2250,Critical alert: Database server overload detected.,Data,User B,User C,Group C,Service A,In Progress,High,P3,Medium,Low,Model B,2025-07-24 18:12:40,2025-07-24 21:12:40,
CR-2251,Data breach notification sent to affected users.,Facilities,User C,"",Group C,Service C,On Hold,Low,P3,Low,Low,Model B,2024-01-04 18:12:40,,
CR-2252,Data breach notification sent to affected users.,Software,User A,User D,Group B,Service A,New,Low,P2,High,High,Model C,2024-09-27 18:12:40,,
CR-2253,Routine check: All systems operational - No issues detected.,Hardware,User A,"",Group B,Service B,New,Medium,P1,Medium,Medium,Model A,2024-07-12 18:12:40,,
CR-2254,Security patch applied: Monitoring for any issues.,Access,User D,User D,Group A,Service A,Canceled,Medium,P2,Medium,Low,Model B,2023-12-30 18:12:40,2023-12-30 21:12:40,2023-12-31 01:12:40
CR-2255,Service outage detected - No connection to database.,Complaint,User A,User A,Group B,Service C,New,Low,P2,Low,Medium,Model B,2025-05-04 18:12:40,,
CR-2256,User login failed: Account locked due to excessive login attempts.,Complaint,User C,"",Group B,Service B,On Hold,High,P3,High,Low,Model C,2024-01-13 18:12:40,,
CR-2257,Routine check: All systems operational - No issues detected.,Network,User C,User B,Group B,Service C,Canceled,Medium,P2,High,Medium,Model A,2024-09-20 18:12:40,2024-09-20 21:12:40,2024-09-20 23:12:40
CR-2258,Performance report: Sluggish response times on application.,SLA Breach,User C,"",Group C,Service B,On Hold,Medium,P2,Low,Medium,Model B,2025-07-13 18:12:40,,
CR-2259,Security alert: Unauthorized access attempt detected.,Hardware,User B,User D,Group B,Service B,Resolved,Low,P3,Medium,Medium,Model A,2024-08-31 18:12:40,2024-08-31 19:12:40,2024-08-31 23:12:40
CR-2260,Security alert: Unauthorized access attempt detected.,Hardware,User B,"",Group C,Service A,Resolved,Medium,P2,Medium,High,Model C,2024-07-17 18:12:40,2024-07-17 20:12:40,2024-07-18 00:12:40
CR-2261,Failed Workflow - ID: 0000,Failure,User A,User D,Group B,Service B,New,Medium,P2,High,High,Model A,2024-08-25 18:12:40,,
CR-2262,User login failed: Account locked due to excessive login attempts.,SLA Breach,User B,User D,Group A,Service C,New,Low,P2,Medium,High,Model B,2024-03-11 18:12:40,,
CR-2263,Performance report: Sluggish response times on application.,Data,User D,User B,Group A,Service A,New,Medium,P1,Low,Low,Model A,2025-04-12 18:12:40,,
CR-2264,Service unavailable due to maintenance,Hardware,User D,"",Group A,Service C,On Hold,Low,P3,Medium,High,Model A,2025-05-21 18:12:40,,
CR-2265,Security patch applied: Monitoring for any issues.,Failure,User B,User D,Group B,Service A,Resolved,Low,P3,Medium,High,Model B,2024-04-22 18:12:40,2024-04-22 20:12:40,2024-04-22 22:12:40
CR-2266,Data breach notification sent to affected users.,Software,User B,User C,Group C,Service C,In Progress,Low,P1,Medium,High,Model C,2025-10-31 18:12:40,2025-10-31 21:12:40,
CR-2267,Service outage detected - No connection to database.,Network,User C,"",Group B,Service A,New,Medium,P1,Medium,Low,Model B,2024-11-26 18:12:40,,
CR-2268,Suspicious activity detected on account: User A.,Hardware,User D,User A,Group B,Service B,Resolved,Medium,P3,Low,Medium,Model C,2025-06-10 18:12:40,2025-06-10 21:12:40,2025-06-11 00:12:40
CR-2269,Service unavailable due to maintenance,Complaint,User A,User A,Group B,Service B,Resolved,Low,P3,Medium,Low,Model C,2024-10-07 18:12:40,2024-10-07 19:12:40,2024-10-07 23:12:40
CR-2270,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User D,User C,Group C,Service B,New,Low,P1,High,Medium,Model B,2024-03-08 18:12:40,,
CR-2271,User login failed: Account locked due to excessive login attempts.,Facilities,User D,User A,Group A,Service C,In Progress,Medium,P2,High,Medium,Model A,2025-01-17 18:12:40,2025-01-17 19:12:40,
CR-2272,Failed Workflow - ID: 0000,SLA Breach,User A,User C,Group B,Service A,Closed,High,P1,Low,High,Model C,2025-03-09 18:12:40,2025-03-09 19:12:40,2025-03-09 22:12:40
CR-2273,Failed Workflow - ID: 0000,Access,User A,User D,Group A,Service C,In Progress,High,P2,High,Low,Model A,2025-08-14 18:12:40,2025-08-14 20:12:40,
CR-2274,Suspicious activity detected on account: User A.,Network,User A,User A,Group A,Service A,Closed,High,P1,High,High,Model C,2025-03-05 18:12:40,2025-03-05 19:12:40,2025-03-05 21:12:40
CR-2275,Security patch applied: Monitoring for any issues.,Complaint,User D,User D,Group A,Service C,On Hold,High,P2,High,High,Model C,2025-08-06 18:12:40,,
CR-2276,Failed Workflow - ID: 0000,Software,User C,User D,Group C,Service B,On Hold,Low,P3,Low,Medium,Model B,2024-11-06 18:12:40,,
CR-2277,Service unavailable due to maintenance,Complaint,User C,User B,Group B,Service A,New,Medium,P1,Low,Medium,Model A,2024-10-12 18:12:40,,
CR-2278,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Facilities,User B,User A,Group A,Service A,Canceled,Medium,P2,Low,Medium,Model B,2025-04-29 18:12:40,2025-04-29 20:12:40,2025-04-30 00:12:40
CR-2279,Routine check: All systems operational - No issues detected.,Complaint,User B,User D,Group B,Service C,On Hold,Low,P1,High,Low,Model B,2025-01-21 18:12:40,,
CR-2280,Performance report: Sluggish response times on application.,Failure,User C,User B,Group C,Service B,In Progress,Medium,P3,Medium,High,Model C,2023-11-19 18:12:40,2023-11-19 20:12:40,
CR-2281,Data breach notification sent to affected users.,SLA Breach,User A,User C,Group A,Service A,New,High,P2,Low,High,Model C,2024-04-03 18:12:40,,
CR-2282,Performance report: Sluggish response times on application.,Facilities,User D,User B,Group A,Service C,Canceled,High,P2,Medium,Low,Model B,2024-09-23 18:12:40,2024-09-23 21:12:40,2024-09-24 01:12:40
CR-2283,Security alert: Unauthorized access attempt detected.,Data,User D,User A,Group A,Service C,In Progress,High,P1,High,Medium,Model C,2024-01-08 18:12:40,2024-01-08 21:12:40,
CR-2284,Suspicious activity detected on account: User A.,Software,User B,User D,Group C,Service A,Resolved,Low,P1,High,Low,Model B,2024-04-14 18:12:40,2024-04-14 20:12:40,2024-04-14 22:12:40
CR-2285,Security alert: Unauthorized access attempt detected.,Network,User D,"",Group A,Service A,Resolved,Low,P2,High,Low,Model B,2025-07-21 18:12:40,2025-07-21 20:12:40,2025-07-22 00:12:40
CR-2286,Critical alert: Database server overload detected.,Network,User D,User D,Group B,Service A,Resolved,Medium,P1,High,Medium,Model C,2025-10-31 18:12:40,2025-10-31 21:12:40,2025-10-31 23:12:40
CR-2287,Suspicious activity detected on account: User A.,Complaint,User A,User A,Group C,Service C,Canceled,Low,P2,High,Low,Model A,2024-02-14 18:12:40,2024-02-14 21:12:40,2024-02-15 01:12:40
CR-2288,Failed Workflow - ID: 0000,Software,User D,User C,Group B,Service C,In Progress,Low,P3,High,High,Model B,2025-07-24 18:12:40,2025-07-24 20:12:40,
CR-2289,Data breach notification sent to affected users.,Failure,User D,User D,Group A,Service B,Resolved,Medium,P2,High,Medium,Model B,2024-09-02 18:12:40,2024-09-02 20:12:40,2024-09-03 00:12:40
CR-2290,User login failed: Account locked due to excessive login attempts.,Software,User A,User C,Group A,Service B,On Hold,High,P1,Medium,Medium,Model C,2025-07-20 18:12:40,,
CR-2291,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User B,User C,Group B,Service B,In Progress,High,P1,Low,High,Model A,2023-11-19 18:12:40,2023-11-19 19:12:40,
CR-2292,Service outage detected - No connection to database.,Software,User C,User D,Group A,Service A,New,Medium,P3,Medium,High,Model A,2025-07-05 18:12:40,,
CR-2293,Failed Workflow - ID: 0000,Facilities,User C,User D,Group B,Service A,Resolved,Medium,P3,Medium,Low,Model C,2024-05-17 18:12:40,2024-05-17 21:12:40,2024-05-17 22:12:40
CR-2294,Critical alert: Database server overload detected.,Failure,User A,User A,Group B,Service A,On Hold,Low,P3,Low,Low,Model C,2025-07-02 18:12:40,,
CR-2295,Routine check: All systems operational - No issues detected.,Access,User A,User D,Group A,Service C,In Progress,High,P2,Low,Medium,Model A,2025-10-16 18:12:40,2025-10-16 21:12:40,
CR-2296,Network issue: Unable to connect to external API.,Complaint,User C,User C,Group A,Service A,New,Medium,P3,Medium,High,Model A,2025-07-13 18:12:40,,
CR-2297,User login failed: Account locked due to excessive login attempts.,Data,User A,"",Group C,Service A,In Progress,High,P1,High,High,Model B,2024-01-18 18:12:40,2024-01-18 20:12:40,
CR-2298,Performance report: Sluggish response times on application.,Complaint,User D,User C,Group C,Service C,In Progress,Low,P2,Medium,Medium,Model A,2025-07-03 18:12:40,2025-07-03 19:12:40,
CR-2299,Security alert: Unauthorized access attempt detected.,Hardware,User D,User A,Group B,Service B,Canceled,High,P1,Low,High,Model C,2025-10-20 18:12:40,2025-10-20 20:12:40,2025-10-20 23:12:40
CR-2300,Security alert: Unauthorized access attempt detected.,Software,User B,User D,Group B,Service C,In Progress,High,P1,Medium,Medium,Model B,2025-11-03 18:12:40,2025-11-03 20:12:40,
CR-2301,Security patch applied: Monitoring for any issues.,Data,User C,User A,Group C,Service B,New,High,P2,Medium,High,Model B,2025-02-22 18:12:40,,
CR-2302,Critical alert: Database server overload detected.,Software,User A,User C,Group C,Service C,In Progress,Medium,P2,Low,Low,Model C,2025-02-07 18:12:40,2025-02-07 21:12:40,
CR-2303,Data breach notification sent to affected users.,Facilities,User B,User D,Group C,Service C,Closed,Medium,P3,High,Low,Model A,2024-01-07 18:12:40,2024-01-07 19:12:40,2024-01-07 20:12:40
CR-2304,Routine check: All systems operational - No issues detected.,Access,User C,User B,Group A,Service A,Resolved,Low,P1,High,Low,Model B,2024-06-25 18:12:40,2024-06-25 19:12:40,2024-06-25 22:12:40
CR-2305,User login failed: Account locked due to excessive login attempts.,Network,User D,User A,Group A,Service A,In Progress,High,P3,High,Medium,Model C,2024-04-01 18:12:40,2024-04-01 19:12:40,
CR-2306,Network issue: Unable to connect to external API.,Software,User C,User D,Group C,Service B,Closed,Low,P1,Medium,Medium,Model B,2024-01-06 18:12:40,2024-01-06 21:12:40,2024-01-06 23:12:40
CR-2307,Suspicious activity detected on account: User A.,Network,User A,"",Group C,Service A,Closed,High,P2,High,Low,Model B,2025-07-04 18:12:40,2025-07-04 20:12:40,2025-07-04 22:12:40
CR-2308,Suspicious activity detected on account: User A.,Software,User A,User B,Group B,Service B,New,Low,P3,Low,High,Model C,2025-11-04 18:12:40,,
CR-2309,Service outage detected - No connection to database.,Software,User A,"",Group C,Service A,New,Medium,P2,Medium,Low,Model B,2024-12-11 18:12:40,,
CR-2310,Security alert: Unauthorized access attempt detected.,Hardware,User C,User A,Group C,Service A,Resolved,High,P2,High,High,Model C,2025-01-19 18:12:40,2025-01-19 19:12:40,2025-01-19 20:12:40
CR-2311,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User B,User D,Group C,Service B,Closed,Medium,P1,Low,High,Model B,2025-11-09 18:12:40,2025-11-09 19:12:40,2025-11-09 22:12:40
CR-2312,Performance report: Sluggish response times on application.,Software,User D,"",Group A,Service B,Resolved,Low,P3,Medium,High,Model C,2025-07-12 18:12:40,2025-07-12 21:12:40,2025-07-13 00:12:40
CR-2313,User login failed: Account locked due to excessive login attempts.,Software,User D,User A,Group B,Service B,Closed,Low,P3,Medium,Low,Model B,2025-09-05 18:12:40,2025-09-05 20:12:40,2025-09-05 21:12:40
CR-2314,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User C,User A,Group B,Service C,On Hold,Medium,P3,Medium,Medium,Model A,2023-12-19 18:12:40,,
CR-2315,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User B,User C,Group A,Service B,In Progress,High,P1,High,Medium,Model A,2024-02-07 18:12:40,2024-02-07 19:12:40,
CR-2316,Security patch applied: Monitoring for any issues.,Network,User A,User B,Group B,Service B,In Progress,Medium,P2,Medium,High,Model A,2024-04-20 18:12:40,2024-04-20 19:12:40,
CR-2317,Routine check: All systems operational - No issues detected.,Complaint,User C,User C,Group B,Service B,On Hold,High,P3,Medium,Low,Model C,2024-05-23 18:12:40,,
CR-2318,Data breach notification sent to affected users.,Access,User A,User A,Group A,Service C,Canceled,High,P1,Medium,Low,Model C,2024-07-22 18:12:40,2024-07-22 20:12:40,2024-07-23 00:12:40
CR-2319,Critical alert: Database server overload detected.,Complaint,User C,"",Group C,Service C,New,Low,P1,Low,High,Model C,2024-11-13 18:12:40,,
CR-2320,Security alert: Unauthorized access attempt detected.,Facilities,User D,User D,Group C,Service B,Resolved,Medium,P3,Low,Medium,Model B,2025-02-03 18:12:40,2025-02-03 21:12:40,2025-02-04 00:12:40
CR-2321,Security patch applied: Monitoring for any issues.,Facilities,User B,User B,Group C,Service A,On Hold,Medium,P3,High,High,Model B,2024-01-12 18:12:40,,
CR-2322,Suspicious activity detected on account: User A.,Data,User C,User B,Group C,Service B,Closed,High,P1,High,Low,Model C,2024-04-13 18:12:40,2024-04-13 20:12:40,2024-04-13 21:12:40
CR-2323,Service outage detected - No connection to database.,Complaint,User B,User C,Group B,Service C,Closed,High,P2,Low,Low,Model A,2024-04-11 18:12:40,2024-04-11 20:12:40,2024-04-11 21:12:40
CR-2324,Suspicious activity detected on account: User A.,Network,User C,"",Group C,Service A,Canceled,High,P3,Low,High,Model A,2024-05-06 18:12:40,2024-05-06 20:12:40,2024-05-06 22:12:40
CR-2325,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User D,"",Group A,Service A,In Progress,Low,P1,High,Low,Model C,2024-03-30 18:12:40,2024-03-30 20:12:40,
CR-2326,Failed Workflow - ID: 0000,Hardware,User B,User A,Group B,Service C,Canceled,Medium,P1,High,High,Model C,2025-01-13 18:12:40,2025-01-13 19:12:40,2025-01-13 21:12:40
CR-2327,Routine check: All systems operational - No issues detected.,Facilities,User A,User B,Group A,Service B,Closed,Medium,P2,Medium,Medium,Model B,2025-02-16 18:12:40,2025-02-16 19:12:40,2025-02-16 22:12:40
CR-2328,Service unavailable due to maintenance,Data,User A,"",Group B,Service C,Closed,Medium,P2,Medium,Low,Model A,2025-10-11 18:12:40,2025-10-11 21:12:40,2025-10-11 22:12:40
CR-2329,Performance report: Sluggish response times on application.,Access,User A,User C,Group B,Service A,Canceled,Medium,P3,High,Medium,Model B,2025-09-22 18:12:40,2025-09-22 19:12:40,2025-09-22 21:12:40
CR-2330,Suspicious activity detected on account: User A.,Facilities,User C,User C,Group A,Service B,In Progress,High,P1,High,Medium,Model C,2023-11-19 18:12:40,2023-11-19 21:12:40,
CR-2331,Failed Workflow - ID: 0000,Software,User B,User A,Group C,Service B,New,High,P3,Low,Low,Model A,2023-12-25 18:12:40,,
CR-2332,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Failure,User D,User A,Group A,Service A,On Hold,Low,P2,Medium,High,Model B,2024-02-06 18:12:40,,
CR-2333,User login failed: Account locked due to excessive login attempts.,Failure,User D,User C,Group A,Service A,In Progress,Medium,P2,Low,Low,Model B,2025-02-18 18:12:40,2025-02-18 20:12:40,
CR-2334,Failed Workflow - ID: 0000,Hardware,User D,"",Group B,Service C,Resolved,High,P2,Low,Medium,Model A,2025-04-27 18:12:40,2025-04-27 21:12:40,2025-04-27 23:12:40
CR-2335,Network issue: Unable to connect to external API.,Access,User C,User A,Group B,Service B,Canceled,Low,P3,Medium,Medium,Model B,2024-09-17 18:12:40,2024-09-17 20:12:40,2024-09-18 00:12:40
CR-2336,User login failed: Account locked due to excessive login attempts.,Facilities,User B,User A,Group A,Service C,On Hold,High,P2,Low,Low,Model C,2025-03-21 18:12:40,,
CR-2337,Security patch applied: Monitoring for any issues.,Network,User B,"",Group C,Service C,In Progress,Medium,P3,Low,High,Model C,2025-03-06 18:12:40,2025-03-06 21:12:40,
CR-2338,Network issue: Unable to connect to external API.,Data,User A,"",Group B,Service A,Closed,High,P1,High,Medium,Model B,2025-08-02 18:12:40,2025-08-02 21:12:40,2025-08-02 23:12:40
CR-2339,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Complaint,User C,User B,Group A,Service B,Canceled,High,P3,Medium,High,Model B,2025-07-11 18:12:40,2025-07-11 19:12:40,2025-07-11 20:12:40
CR-2340,Service unavailable due to maintenance,Access,User C,User B,Group C,Service B,Canceled,Low,P3,Low,Medium,Model C,2024-02-17 18:12:40,2024-02-17 21:12:40,2024-02-18 01:12:40
CR-2341,Suspicious activity detected on account: User A.,Network,User B,User D,Group C,Service A,Resolved,Low,P2,Medium,Low,Model A,2024-02-10 18:12:40,2024-02-10 20:12:40,2024-02-10 21:12:40
CR-2342,Critical alert: Database server overload detected.,Software,User C,User A,Group B,Service B,New,High,P1,High,Medium,Model B,2024-04-04 18:12:40,,
CR-2343,Service outage detected - No connection to database.,Access,User B,"",Group A,Service C,On Hold,Medium,P1,Low,Low,Model B,2025-08-16 18:12:40,,
CR-2344,Routine check: All systems operational - No issues detected.,Hardware,User D,User C,Group B,Service A,Resolved,Medium,P1,High,Medium,Model B,2024-12-08 18:12:40,2024-12-08 20:12:40,2024-12-08 21:12:40
CR-2345,Security patch applied: Monitoring for any issues.,Access,User D,User A,Group B,Service C,On Hold,High,P3,Low,Low,Model A,2024-07-10 18:12:40,,
CR-2346,Service unavailable due to maintenance,Software,User A,User D,Group A,Service B,Resolved,Low,P3,Low,Low,Model A,2024-01-09 18:12:40,2024-01-09 19:12:40,2024-01-09 20:12:40
CR-2347,Data breach notification sent to affected users.,SLA Breach,User C,User A,Group A,Service B,In Progress,Low,P2,Low,Medium,Model A,2024-08-02 18:12:40,2024-08-02 20:12:40,
CR-2348,Critical alert: Database server overload detected.,Software,User D,User C,Group C,Service B,Resolved,High,P2,Low,Low,Model A,2025-01-03 18:12:40,2025-01-03 21:12:40,2025-01-03 23:12:40
CR-2349,Service outage detected - No connection to database.,Facilities,User C,User B,Group C,Service B,On Hold,Low,P2,Low,High,Model B,2025-11-03 18:12:40,,
CR-2350,Performance report: Sluggish response times on application.,Access,User D,"",Group B,Service C,New,High,P3,Medium,Low,Model B,2025-01-29 18:12:40,,
CR-2351,Failed Workflow - ID: 0000,Access,User A,User A,Group C,Service B,In Progress,Medium,P3,Low,Medium,Model A,2024-09-12 18:12:40,2024-09-12 20:12:40,
CR-2352,Suspicious activity detected on account: User A.,Failure,User A,User C,Group C,Service A,On Hold,Low,P2,Medium,Low,Model C,2025-10-14 18:12:40,,
CR-2353,Routine check: All systems operational - No issues detected.,SLA Breach,User C,User A,Group B,Service B,On Hold,Low,P2,High,High,Model C,2024-03-23 18:12:40,,
CR-2354,Network issue: Unable to connect to external API.,SLA Breach,User A,User B,Group C,Service B,On Hold,Medium,P2,High,Medium,Model C,2024-08-20 18:12:40,,
CR-2355,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User C,User C,Group B,Service A,In Progress,Medium,P3,Low,Medium,Model B,2024-05-05 18:12:40,2024-05-05 20:12:40,
CR-2356,Routine check: All systems operational - No issues detected.,Hardware,User A,User A,Group B,Service A,Canceled,Low,P2,Medium,Medium,Model C,2023-12-28 18:12:40,2023-12-28 20:12:40,2023-12-28 21:12:40
CR-2357,Data breach notification sent to affected users.,Complaint,User B,User D,Group B,Service A,Canceled,Medium,P2,Low,Medium,Model B,2024-07-22 18:12:40,2024-07-22 20:12:40,2024-07-23 00:12:40
CR-2358,User login failed: Account locked due to excessive login attempts.,Failure,User A,User A,Group B,Service C,Resolved,High,P3,Low,Medium,Model B,2023-11-21 18:12:40,2023-11-21 20:12:40,2023-11-22 00:12:40
CR-2359,User login failed: Account locked due to excessive login attempts.,Complaint,User D,User C,Group C,Service C,New,Low,P3,Medium,High,Model B,2025-01-11 18:12:40,,
CR-2360,User login failed: Account locked due to excessive login attempts.,Hardware,User A,User D,Group A,Service B,Resolved,High,P1,Medium,Low,Model C,2024-10-14 18:12:40,2024-10-14 21:12:40,2024-10-14 22:12:40
CR-2361,Routine check: All systems operational - No issues detected.,Complaint,User C,User B,Group C,Service B,In Progress,High,P1,High,High,Model C,2025-01-14 18:12:40,2025-01-14 19:12:40,
CR-2362,Suspicious activity detected on account: User A.,SLA Breach,User B,User A,Group A,Service C,New,Medium,P3,Medium,Low,Model C,2024-07-13 18:12:40,,
CR-2363,Failed Workflow - ID: 0000,SLA Breach,User A,"",Group A,Service C,On Hold,High,P2,Low,Low,Model C,2025-02-25 18:12:40,,
CR-2364,Network issue: Unable to connect to external API.,Failure,User C,User A,Group C,Service A,In Progress,Low,P3,Low,High,Model C,2024-04-27 18:12:40,2024-04-27 19:12:40,
CR-2365,Service unavailable due to maintenance,Hardware,User B,"",Group B,Service C,New,High,P2,High,Low,Model C,2024-07-29 18:12:40,,
CR-2366,User login failed: Account locked due to excessive login attempts.,Software,User B,User C,Group A,Service C,Closed,High,P2,High,Medium,Model C,2024-10-09 18:12:40,2024-10-09 19:12:40,2024-10-09 20:12:40
CR-2367,Security patch applied: Monitoring for any issues.,Access,User B,"",Group B,Service B,In Progress,Medium,P1,Medium,Medium,Model A,2025-05-09 18:12:40,2025-05-09 21:12:40,
CR-2368,User login failed: Account locked due to excessive login attempts.,Access,User A,User A,Group B,Service B,Resolved,Low,P1,High,High,Model C,2024-09-20 18:12:40,2024-09-20 19:12:40,2024-09-20 21:12:40
CR-2369,Performance report: Sluggish response times on application.,Access,User C,User B,Group A,Service A,New,High,P2,Medium,Low,Model B,2025-04-08 18:12:40,,
CR-2370,Security patch applied: Monitoring for any issues.,SLA Breach,User B,User C,Group B,Service B,New,Medium,P3,Medium,Medium,Model B,2025-02-08 18:12:40,,
CR-2371,Performance report: Sluggish response times on application.,Data,User B,"",Group B,Service B,Closed,High,P1,Medium,High,Model C,2024-03-14 18:12:40,2024-03-14 19:12:40,2024-03-14 23:12:40
CR-2372,Failed Workflow - ID: 0000,Facilities,User C,"",Group B,Service B,In Progress,Medium,P1,Low,High,Model B,2025-04-14 18:12:40,2025-04-14 21:12:40,
